Deal Id,Merchant Id,Merchant,Start Date,End Date,Publish Date,Title,Image(big),Tracking URL,Image(small),Category,Description,Restrictions,Keywords,Coupon Code,Edit Date
1227917,27868,"TOMTOP Technology Co., Ltd",2024-08-05 00:00:00.0,2024-09-30 00:00:00.0,2024-08-05 06:56:25.313,"68% OFF ZEALOT S55 Portable Wireless Speaker with BT 5.0 Technology Waterproof &amp; Dustproof Speakers,24.17?",https://img.tttcdn.com/product/xy/2000/2000/p/gu1/P/B/PAA5630B/PAA5630B-1-43db-ynMg.jpg,https://www.shareasale.com/u.cfm?d=1227917&m=27868&u=233101,https://img.tttcdn.com/product/xy/60/60/p/gu1/P/B/PAA5630B/PAA5630B-1-43db-ynMg.jpg,Cellphone &amp; Accessories,24.17? for ZEALOT S55 Portable Wireless Speaker with BT 5.0 Technology Waterproof &amp; Dustproof Speakers,,"free shipping,limited offers, flash sale",,2024-08-05 06:56:25.313
1227916,27868,"TOMTOP Technology Co., Ltd",2024-08-05 00:00:00.0,2024-09-30 00:00:00.0,2024-08-05 06:56:25.313,"47% OFF 20-in-1 Multifunctional Electronics Cleaning Kit with Storage Box for Cameras/Lens/Earphones/Phones/Keyboard/Laptop/Tablet/PC Monitor Cleaning Tools,9.99?",https://img.tttcdn.com/product/xy/2000/2000/p/gu1/D/5/D12955/D12955-1-dce3-9rUn.jpg,https://www.shareasale.com/u.cfm?d=1227916&m=27868&u=233101,https://img.tttcdn.com/product/xy/60/60/p/gu1/D/5/D12955/D12955-1-dce3-9rUn.jpg,Cameras &amp; Photo Accessories,9.99? for 20-in-1 Multifunctional Electronics Cleaning Kit with Storage Box for Cameras/Lens/Earphones/Phones/Keyboard/Laptop/Tablet/PC Monitor Cleaning Tools,,"free shipping,limited offers, flash sale",,2024-08-05 06:56:25.313
1227915,27868,"TOMTOP Technology Co., Ltd",2024-08-05 00:00:00.0,2024-09-30 00:00:00.0,2024-08-05 06:56:25.313,"63% OFF Portable Camping Shower Adjustable Outdoor Shower with Intelligent Temperature Detection 4500mAh Rechargeable Battery,29.75?",https://img.tttcdn.com/product/xy/2000/2000/p/gu1/K/0/K23580/K23580-1-1c37-5tJw.jpg,https://www.shareasale.com/u.cfm?d=1227915&m=27868&u=233101,https://img.tttcdn.com/product/xy/60/60/p/gu1/K/0/K23580/K23580-1-1c37-5tJw.jpg,Sports &amp; Outdoor,29.75? for Portable Camping Shower Adjustable Outdoor Shower with Intelligent Temperature Detection 4500mAh Rechargeable Battery,,"free shipping,limited offers, flash sale",,2024-08-05 06:56:25.313
1227914,27868,"TOMTOP Technology Co., Ltd",2024-08-05 00:00:00.0,2024-09-30 00:00:00.0,2024-08-05 06:56:25.313,"70% OFF 7 Inch Car Stereo MP5 Player BT Hands-Free Calling FM Radio,37.19?",https://img.tttcdn.com/product/xy/2000/2000/p/gu1/K/5/K21555/K21555-1-7c86-bT7X.jpg,https://www.shareasale.com/u.cfm?d=1227914&m=27868&u=233101,https://img.tttcdn.com/product/xy/60/60/p/gu1/K/5/K21555/K21555-1-7c86-bT7X.jpg,Car Accessories,37.19? for 7 Inch Car Stereo MP5 Player BT Hands-Free Calling FM Radio,,"free shipping,limited offers, flash sale",,2024-08-05 06:56:25.313
1227913,27868,"TOMTOP Technology Co., Ltd",2024-08-05 00:00:00.0,2024-09-30 00:00:00.0,2024-08-05 06:56:25.313,"64% OFF 68in1 Mini Electric Screwdriver Precision Electric Screwdriver Magnetic Storage Precision Maintenance/CR-V Steel/Type-C Charging/LED Shadowless Light,25.10?",https://img.tttcdn.com/product/xy/2000/2000/p/gu1/K/4/K22794/K22794-1-c8d0-Qu7t.jpg,https://www.shareasale.com/u.cfm?d=1227913&m=27868&u=233101,https://img.tttcdn.com/product/xy/60/60/p/gu1/K/4/K22794/K22794-1-c8d0-Qu7t.jpg,Test Equipment &amp; Tools,25.10? for 68in1 Mini Electric Screwdriver Precision Electric Screwdriver Magnetic Storage Precision Maintenance/CR-V Steel/Type-C Charging/LED Shadowless Light,,"free shipping,limited offers, flash sale",,2024-08-05 06:56:25.313
1227912,27868,"TOMTOP Technology Co., Ltd",2024-08-05 00:00:00.0,2024-09-30 00:00:00.0,2024-08-05 06:56:25.313,"64% OFF Cordless Drill Driver Kits with 2 Battery 21V Hand-held Electric Drill,48.35?",https://img.tttcdn.com/product/xy/2000/2000/p/gu1/K/U/K22656Y-EU/K22656Y-EU-1-dfb1-YJV4.jpg,https://www.shareasale.com/u.cfm?d=1227912&m=27868&u=233101,https://img.tttcdn.com/product/xy/60/60/p/gu1/K/U/K22656Y-EU/K22656Y-EU-1-dfb1-YJV4.jpg,Test Equipment &amp; Tools,48.35? for Cordless Drill Driver Kits with 2 Battery 21V Hand-held Electric Drill,,"free shipping,limited offers, flash sale",,2024-08-05 06:56:25.313
1227911,27868,"TOMTOP Technology Co., Ltd",2024-08-05 00:00:00.0,2024-09-30 00:00:00.0,2024-08-05 06:56:25.313,"77% OFF Wireless Remote Control Fishing Feeder Smart Fishing Bait Boat,59.99?+",https://img.tttcdn.com/product/xy/2000/2000/p/gu1/Y/U/Y13318EU/Y13318EU-1-1697-PXRB.jpg,https://www.shareasale.com/u.cfm?d=1227911&m=27868&u=233101,https://img.tttcdn.com/product/xy/60/60/p/gu1/Y/U/Y13318EU/Y13318EU-1-1697-PXRB.jpg,Sports &amp; Outdoor,59.99?+ for Wireless Remote Control Fishing Feeder Smart Fishing Bait Boat,,"limited offers, flash sale",,2024-08-05 06:56:25.313
1227910,27868,"TOMTOP Technology Co., Ltd",2024-08-05 00:00:00.0,2024-09-30 00:00:00.0,2024-08-05 06:56:25.313,"59% OFF K&amp;F CONCEPT S210 2M/78.7Inch Professional Photography Tripod Monopod Aluminum Alloy Camera Tripod Stand,65.99?+",https://img.tttcdn.com/product/xy/2000/2000/p/gu1/D/5/D11745/D11745-1-11a3-yIxh.jpg,https://www.shareasale.com/u.cfm?d=1227910&m=27868&u=233101,https://img.tttcdn.com/product/xy/60/60/p/gu1/D/5/D11745/D11745-1-11a3-yIxh.jpg,Cameras &amp; Photo Accessories,65.99?+ for K&amp;F CONCEPT S210 2M/78.7Inch Professional Photography Tripod Monopod Aluminum Alloy Camera Tripod Stand,,"limited offers, flash sale",,2024-08-05 06:56:25.313
1227909,27868,"TOMTOP Technology Co., Ltd",2024-08-05 00:00:00.0,2024-09-30 00:00:00.0,2024-08-05 06:56:25.313,"48% OFF 12V 1200W Wind Generator with Charger Controller 5 Blades S-Type Minitype Wind Turbine Generator Kit Clear Energy Windmill for Home Highways Boats,110.66?",https://img.tttcdn.com/product/xy/2000/2000/p/gu1/H/W/H36390W/H36390W-1-01d4-FHaG.jpg,https://www.shareasale.com/u.cfm?d=1227909&m=27868&u=233101,https://img.tttcdn.com/product/xy/60/60/p/gu1/H/W/H36390W/H36390W-1-01d4-FHaG.jpg,Home &amp; Garden,110.66? for 12V 1200W Wind Generator with Charger Controller 5 Blades S-Type Minitype Wind Turbine Generator Kit Clear Energy Windmill for Home Highways Boats,,"free shipping,limited offers, flash sale",,2024-08-05 06:56:25.313
1227908,27868,"TOMTOP Technology Co., Ltd",2024-08-05 00:00:00.0,2024-09-30 00:00:00.0,2024-08-05 06:56:25.313,"68% OFF Bike Rear Seat Bag Bicycle Trunk Bag Waterproof Bike Carrier Backseat Bag with Side Bag,30.68?",https://img.tttcdn.com/product/xy/2000/2000/p/gu1/Y/1/YB20255-1/YB20255-1-1-3585-QXMc.jpg,https://www.shareasale.com/u.cfm?d=1227908&m=27868&u=233101,https://img.tttcdn.com/product/xy/60/60/p/gu1/Y/1/YB20255-1/YB20255-1-1-3585-QXMc.jpg,Sports &amp; Outdoor,30.68? for Bike Rear Seat Bag Bicycle Trunk Bag Waterproof Bike Carrier Backseat Bag with Side Bag,,"free shipping,limited offers, flash sale",,2024-08-05 06:56:25.313
